Fil uppdaterad 06 maj 2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Planerat vecka 19 och 20;;;
 Kalmar ;400; 1 950 ; 2 925 ; 300 ; 2 925 ; 2 925 ; 975 ; 500 ; 2 340 ; 900 ; 1 400 ; 2 340 ; 1 700 ; 3 510 ; 2 800 ; 3 510 ; 1 800 ; 2 600 ; 3 510 ;4 000;3 510;1 600;1 600;3 510;800;4 680;2 400;800;5 850;7 500;9 360;2 100;900;8 190;2 400;9 360;1 200;6 500;12 870;1 100;9 000;8 190;1 600;8 190;1 500;8 190
 Kronoberg;400; 1 950 ; 1 950 ; 200 ; 1 950 ; 1 950 ; 975 ; 300 ; 2 340 ; 600 ; 900 ; 2 340 ; 1 200 ; 2 340 ; 1 900 ; 2 340 ; 1 200 ; 1 800 ; 1 170 ;2 700;2 340;1 100;1 200;2 340;500;3 510;1 800;600;3 510;5 500;5 850;1 500;600;5 850;1 700;5 850;800;4 300;9 360;900;7 200;7 020;1 300;7 020;1 200;7 020
 Norrbotten;400; 1 950 ; 2 925 ; 300 ; 2 925 ; 2 925 ; 975 ; 500 ; 2 340 ; 900 ; 1 300 ; 2 340 ; 1 600 ; 3 510 ; 2 700 ; 3 510 ; 1 700 ; 2 500 ; 3 510 ;3 800;3 510;1 600;1 600;3 510;800;4 680;2 400;800;4 680;7 400;8 190;2 100;900;9 360;2 400;9 360;1 200;6 700;11 700;1 100;9 400;9 360;1 700;9 360;1 600;8 190
 Skåne ;850; 9 750 ; 10 725 ; 1 400 ; 11 700 ; 4 875 ; 12 675 ; 2 000 ; 11 700 ; 4 100 ; 6 000 ; 12 870 ; 7 100 ; 15 210 ; 12 200 ; 15 210 ; 7 700 ; 11 300 ; 16 380 ;16 800;17 550;7 000;6 900;17 550;3 400;22 230;10 500;3 400;22 230;32 900;38 610;9 200;4 100;38 610;10 500;38 610;5 300;29 600;53 820;6 000;49 700;46 800;8 900;46 800;9 000;49 140
 Stockholm;850; 13 650 ; 15 600 ; 1 900 ; 16 575 ; 7 800 ; 14 625 ; 2 800 ; 17 550 ; 6 100 ; 8 300 ; 16 380 ; 9 900 ; 21 060 ; 17 000 ; 22 230 ; 10 700 ; 15 700 ; 23 400 ;23 700;24 570;9 800;9 700;24 570;4 800;30 420;14 600;5 000;30 420;46 300;54 990;13 000;5 700;54 990;14 800;53 820;7 500;41 100;76 050;10 400;85 300;80 730;15 300;80 730;16 300;90 090
 Södermanland;400; 2 925 ; 2 925 ; 400 ; 2 925 ; 2 925 ; 975 ; 500 ; 3 510 ; 1 000 ; 1 500 ; 3 510 ; 1 800 ; 3 510 ; 3 100 ; 3 510 ; 1 900 ; 2 800 ; 4 680 ;4 200;4 680;1 800;1 600;4 680;900;5 850;2 600;800;5 850;8 100;9 360;2 300;1 000;9 360;2 600;9 360;1 300;7 800;12 870;1 300;10 700;10 530;1 900;10 530;1 800;10 530
 Uppsala ;400; 2 925 ; 2 925 ; 400 ; 2 925 ; 2 925 ; 1 950 ; 500 ; 3 510 ; 1 100 ; 1 600 ; 3 510 ; 1 900 ; 3 510 ; 3 200 ; 3 510 ; 2 000 ; 3 000 ; 4 680 ;4 400;4 680;1 900;1 800;4 680;900;5 850;2 800;800;5 850;8 700;10 530;2 400;1 100;9 360;2 800;9 360;1 400;7 600;14 040;1 700;13 900;12 870;2 500;12 870;2 600;14 040
 Värmland;400; 2 925 ; 2 925 ; 400 ; 4 875 ; 2 925 ; 1 950 ; 500 ; 1 170 ; 1 000 ; 1 500 ; 3 510 ; 1 800 ; 3 510 ; 3 100 ; 3 510 ; 1 900 ; 2 800 ; 3 510 ;4 200;4 680;1 800;1 700;4 680;900;5 850;2 600;900;5 850;8 200;10 530;2 300;1 000;9 360;2 600;8 190;1 300;7 600;12 870;1 300;10 500;9 360;1 900;9 360;1 800;9 360
 Västerbotten;400; 1 950 ; 1 950 ; 300 ; 1 950 ; 1 950 ; 1 950 ; 400 ; 2 340 ; 900 ; 1 300 ; 2 340 ; 1 500 ; 3 510 ; 2 600 ; 3 510 ; 1 600 ; 2 400 ; 4 680 ;3 600;4 680;1 500;1 400;3 510;700;4 680;2 200;700;4 680;7 100;8 190;2 000;900;7 020;2 300;9 360;1 100;6 100;11 700;1 200;10 000;9 360;1 800;8 190;1 800;9 360
 Västernorrland;400; 1 950 ; 2 925 ; 300 ; 2 925 ; 2 925 ; 975 ; 500 ; 2 340 ; 900 ; 1 300 ; 2 340 ; 1 700 ; 3 510 ; 2 700 ; 3 510 ; 1 700 ; 2 500 ; 3 510 ;3 700;3 510;1 600;1 500;3 510;800;4 680;2 300;800;4 680;7 100;9 360;2 000;900;9 360;2 300;8 190;1 200;6 600;11 700;1 100;9 000;8 190;1 600;8 190;1 500;8 190
 Västmanland;400; 1 950 ; 2 925 ; 300 ; 2 925 ; 2 925 ; 975 ; 500 ; 2 340 ; 900 ; 1 300 ; 2 340 ; 1 700 ; 3 510 ; 2 800 ; 3 510 ; 1 700 ; 2 600 ; 3 510 ;3 700;3 510;1 600;1 600;3 510;800;4 680;2 400;800;4 680;7 300;8 190;2 100;900;9 360;2 300;9 360;1 200;6 600;11 700;1 200;10 000;9 360;1 800;9 360;1 700;9 360
 Västra Götaland;850; 12 675 ; 14 625 ; 1 700 ; 12 675 ; 6 825 ; 14 625 ; 2 600 ; 15 210 ; 5 000 ; 7 400 ; 14 040 ; 8 800 ; 18 720 ; 15 200 ; 19 890 ; 9 500 ; 14 000 ; 19 890 ;21 000;21 060;8 700;8 600;21 060;4 300;26 910;13 000;4 300;26 910;41 000;49 140;11 500;5 100;50 310;13 100;49 140;6 600;36 800;67 860;7 600;62 700;58 500;11 300;58 500;11 400;62 010
 Örebro ;400; 2 925 ; 2 925 ; 300 ; 2 925 ; 2 925 ; 975 ; 500 ; 3 510 ; 1 000 ; 1 400 ; 3 510 ; 1 700 ; 3 510 ; 3 000 ; 3 510 ; 1 900 ; 2 700 ; 3 510 ;4 000;3 510;1 700;1 700;4 680;800;4 680;2 500;800;5 850;7 900;8 190;2 200;1 000;9 360;2 500;8 190;1 300;7 300;12 870;1 300;11 100;10 530;2 000;10 530;1 900;10 530
 Östergötland;400; 3 900 ; 3 900 ; 500 ; 3 900 ; 3 900 ; 1 950 ; 700 ; 4 680 ; 1 400 ; 2 100 ; 4 680 ; 2 500 ; 5 850 ; 4 300 ; 5 850 ; 2 700 ; 4 000 ; 5 850 ;6 000;5 850;2 500;2 400;5 850;1 200;8 190;3 700;1 200;8 190;11 700;12 870;3 300;1 400;14 040;3 700;14 040;1 900;10 800;18 720;2 200;17 000;16 380;3 000;16 380;3 000;16 380
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZ = Pfizer/BioNTech;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MD = Moderna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AZ = AstraZeneca;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
