Country,Confirmed,Deaths,Recovered,Active,Cases per 100 000,Inhabitants,Urban population (%)
Moldova,244177,5493,227569,11115,6045,4039197,42.557
Monaco,2387,31,2268,88,6071,39317,100.0
Mongolia,18565,31,10638,7896,559,3318208,68.363
Montenegro,95042,1412,89965,3665,15108,629077,66.477
Morocco,504260,8927,490366,4967,1350,37329176,61.908
Mozambique,69002,794,61112,7096,217,31777898,35.455
Namibia,46185,596,44322,1267,1793,2574877,49.005
Nepal,282054,3066,274604,4384,952,29617960,19.336
Netherlands,1402433,17063,19908,1365462,8007,17514951,91.077
New Zealand,2591,26,2464,101,53,4881196,86.466
Nicaragua,6778,180,4225,2373,101,6706460,58.299
Niger,5113,190,4767,156,20,24661099,16.35
Nigeria,164080,2061,154285,7734,78,208995195,49.519
North Macedonia,145001,4357,120707,19937,6942,2088601,57.748
Norway,106224,707,17998,87519,1947,5453781,81.871
Oman,176668,1821,156845,18002,3400,5194972,83.56
Pakistan,745182,15982,650775,78425,332,224192049,36.442
Panama,359830,6183,349718,3929,8235,4369216,67.365
Papua New Guinea,9188,82,846,8260,101,9066850,13.102
Paraguay,244528,5110,200259,39159,3386,7221229,61.3
Peru,1667737,55812,1592937,18988,4994,33388339,77.72
Philippines,904285,15594,705164,183527,815,110894996,46.682
Poland,2642242,60612,2238638,342992,6974,37886821,60.105
Portugal,829358,16933,787011,25414,8141,10186330,64.652
Qatar,193952,357,171985,21610,6655,2914066,99.078
Romania,1020301,25800,925395,69106,5324,19163611,53.936
Russia,4622464,102667,4252526,267271,3166,145969709,74.292
Rwanda,23744,321,21805,1618,180,13169753,17.125
Saint Kitts and Nevis,44,0,44,0,82,53637,30.773
Saint Lucia,4355,64,4225,66,2353,185046,18.612
Saint Vincent and the Grenadines,1818,10,1677,131,1630,111529,51.784
Samoa,3,0,2,1,5,55540,18.452
San Marino,5010,86,4671,253,14720,34035,97.072
Sao Tome and Principe,2271,35,2201,35,1021,222224,71.968
Saudi Arabia,402142,6791,386102,9249,1139,35276694,83.622
Senegal,39606,1085,38343,178,232,17023778,46.74
Serbia,654870,5881,,648989,7505,8725091,55.942
Seychelles,4765,25,4351,389,4816,98930,56.261
